batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-07-09,360ONE,HOLD,2026-07-09,1100.2,1031.3,3,2.72,-6.0,38.5,charts/360ONE_HOLD.png,,,,
2026-07-09,AARTIDRUGS,HOLD,2026-07-09,395.35,366.8,5,2.92,-3.2,61.1,charts/AARTIDRUGS_HOLD.png,,,,
2026-07-09,ABCAPITAL,HOLD,2026-07-09,397.35,382.75,2,2.76,4.3,77.2,charts/ABCAPITAL_HOLD.png,,,,
2026-07-09,ACE,HOLD,2026-07-09,976.6,975.65,2,3.17,5.6,68.9,charts/ACE_HOLD.png,,,,
2026-07-09,AEQUS,HOLD,2026-07-09,258.07,227.1,2,5.6,11.3,41.4,charts/AEQUS_HOLD.png,,,,
2026-07-09,AFFLE,HOLD,2026-07-09,1468.0,1401.3,4,2.17,-4.6,75.0,charts/AFFLE_HOLD.png,,,,
2026-07-09,AKUMS,HOLD,2026-07-09,658.2,596.33,2,3.08,5.4,36.8,charts/AKUMS_HOLD.png,,,,
2026-07-09,ALIVUS,HOLD,2026-07-09,1142.9,1085.0,2,3.43,0.4,64.6,charts/ALIVUS_HOLD.png,,,,
2026-07-09,ANANTRAJ,HOLD,2026-07-09,569.45,510.3,4,3.18,-2.7,57.6,charts/ANANTRAJ_HOLD.png,,,,
2026-07-09,ANGELONE,HOLD,2026-07-09,341.1,319.5,3,3.06,-3.9,61.4,charts/ANGELONE_HOLD.png,,,,
2026-07-09,APOLLO,HOLD,2026-07-09,398.3,381.8,2,5.58,-0.4,80.5,charts/APOLLO_HOLD.png,,,,
2026-07-09,ARVIND,HOLD,2026-07-09,533.1,505.8,2,4.65,2.7,67.4,charts/ARVIND_HOLD.png,,,,
2026-07-09,ARVINDFASN,HOLD,2026-07-09,466.4,440.5,2,2.83,-4.1,58.2,charts/ARVINDFASN_HOLD.png,,,,
2026-07-09,ASKAUTOLTD,HOLD,2026-07-09,479.95,423.0,2,2.83,-5.9,32.9,charts/ASKAUTOLTD_HOLD.png,,,,
2026-07-09,ASTERDM,HOLD,2026-07-09,807.15,759.5,4,3.07,-0.5,73.8,charts/ASTERDM_HOLD.png,,,,
2026-07-09,ATGL,HOLD,2026-07-09,700.65,690.4,2,2.91,-0.9,73.1,charts/ATGL_HOLD.png,,,,
2026-07-09,AUBANK,HOLD,2026-07-09,1047.4,1013.0,2,2.5,0.2,75.7,charts/AUBANK_HOLD.png,,,,
2026-07-09,AVALON,HOLD,2026-07-09,1728.6,1710.0,2,4.72,13.5,60.2,charts/AVALON_HOLD.png,,,,
2026-07-09,AVL,HOLD,2026-07-09,632.25,607.0,2,3.71,5.4,57.9,charts/AVL_HOLD.png,,,,
2026-07-09,BALAMINES,HOLD,2026-07-09,2364.0,1965.86,2,5.0,4.8,36.0,charts/BALAMINES_HOLD.png,,,,
2026-07-09,BANCOINDIA,HOLD,2026-07-09,673.2,655.25,2,2.84,1.5,81.0,charts/BANCOINDIA_HOLD.png,,,,
2026-07-09,BANDHANBNK,HOLD,2026-07-09,199.86,194.4,3,3.4,-4.3,81.4,charts/BANDHANBNK_HOLD.png,,,,
2026-07-09,BEML,HOLD,2026-07-09,1816.1,1718.4,3,3.14,-4.6,68.5,charts/BEML_HOLD.png,,,,
2026-07-09,BHARATFORG,HOLD,2026-07-09,2130.6,2097.44,2,2.97,6.1,65.9,charts/BHARATFORG_HOLD.png,,,,
2026-07-09,CDSL,HOLD,2026-07-09,1346.5,1314.7,2,2.13,4.1,77.9,charts/CDSL_HOLD.png,,,,
2026-07-09,CHENNPETRO,HOLD,2026-07-09,1121.7,1092.1,2,2.99,-0.8,75.5,charts/CHENNPETRO_HOLD.png,,,,
2026-07-09,CONCORDBIO,HOLD,2026-07-09,1305.4,1273.6,2,3.11,4.9,69.8,charts/CONCORDBIO_HOLD.png,,,,
2026-07-09,CPPLUS,HOLD,2026-07-09,3644.2,3492.6,2,3.71,13.5,67.6,charts/CPPLUS_HOLD.png,,,,
2026-07-09,DATAMATICS,HOLD,2026-07-09,863.8,796.65,2,3.56,2.0,71.1,charts/DATAMATICS_HOLD.png,,,,
2026-07-09,DEEPAKFERT,HOLD,2026-07-09,1546.2,1515.0,2,3.13,4.3,76.2,charts/DEEPAKFERT_HOLD.png,,,,
2026-07-09,ELECON,HOLD,2026-07-09,512.35,511.14,2,3.49,-2.2,76.7,charts/ELECON_HOLD.png,,,,
2026-07-09,EMMVEE,HOLD,2026-07-09,334.45,320.05,3,4.22,3.6,72.5,charts/EMMVEE_HOLD.png,,,,
2026-07-09,EPL,HOLD,2026-07-09,239.49,227.88,2,2.87,1.4,70.7,charts/EPL_HOLD.png,,,,
2026-07-09,FEDERALBNK,HOLD,2026-07-09,327.75,319.3,3,1.71,4.5,74.4,charts/FEDERALBNK_HOLD.png,,,,
2026-07-09,FEDFINA,HOLD,2026-07-09,154.49,146.01,3,3.0,-5.1,72.2,charts/FEDFINA_HOLD.png,,,,
2026-07-09,GAEL,HOLD,2026-07-09,158.41,152.19,3,3.08,-5.0,63.3,charts/GAEL_HOLD.png,,,,
2026-07-09,GMRAIRPORT,HOLD,2026-07-09,111.83,105.68,2,2.31,3.1,49.7,charts/GMRAIRPORT_HOLD.png,,,,
2026-07-09,GRWRHITECH,HOLD,2026-07-09,6922.0,6525.0,2,3.69,9.0,49.2,charts/GRWRHITECH_HOLD.png,,,,
2026-07-09,HSCL,HOLD,2026-07-09,650.05,630.05,2,4.14,-1.2,82.0,charts/HSCL_HOLD.png,,,,
2026-07-09,HUDCO,HOLD,2026-07-09,204.81,199.0,4,2.82,-5.4,77.4,charts/HUDCO_HOLD.png,,,,
2026-07-09,IDEA,HOLD,2026-07-09,14.04,13.79,4,2.83,0.7,84.2,charts/IDEA_HOLD.png,,,,
2026-07-09,IDFCFIRSTB,HOLD,2026-07-09,79.46,78.43,2,2.23,6.9,62.1,charts/IDFCFIRSTB_HOLD.png,,,,
2026-07-09,IFBIND,HOLD,2026-07-09,1279.9,1213.4,3,2.82,-0.4,71.3,charts/IFBIND_HOLD.png,,,,
2026-07-09,IIFL,HOLD,2026-07-09,544.7,500.0,2,3.52,1.5,56.5,charts/IIFL_HOLD.png,,,,
2026-07-09,IIFLCAPS,HOLD,2026-07-09,338.5,338.1,3,1.1,-0.8,75.8,charts/IIFLCAPS_HOLD.png,,,,
2026-07-09,INOXINDIA,HOLD,2026-07-09,2006.2,1866.1,2,5.0,12.1,48.5,charts/INOXINDIA_HOLD.png,,,,
