batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-08-05,3MINDIA,HOLD,2026-08-05,35805.0,34865.0,2,2.43,3.7,62.2,charts/3MINDIA_HOLD.png,,,,
2026-08-05,AARTIDRUGS,HOLD,2026-08-05,412.4,402.9,3,3.12,3.2,78.0,charts/AARTIDRUGS_HOLD.png,,,,
2026-08-05,ABCAPITAL,HOLD,2026-08-05,424.7,384.05,2,2.63,0.6,51.2,charts/ABCAPITAL_HOLD.png,,,,
2026-08-05,ABDL,HOLD,2026-08-05,614.15,604.91,4,3.72,-2.4,83.8,charts/ABDL_HOLD.png,,,,
2026-08-05,ACMESOLAR,HOLD,2026-08-05,382.25,361.5,2,3.95,0.6,54.6,charts/ACMESOLAR_HOLD.png,,,,
2026-08-05,AEGISLOG,HOLD,2026-08-05,1395.8,1265.8,2,4.92,15.0,64.7,charts/AEGISLOG_HOLD.png,,,,
2026-08-05,AEQUS,HOLD,2026-08-05,239.95,223.07,3,4.01,1.3,66.8,charts/AEQUS_HOLD.png,,,,
2026-08-05,AETHER,HOLD,2026-08-05,1589.4,1432.7,2,3.67,9.6,40.2,charts/AETHER_HOLD.png,,,,
2026-08-05,AGARWALEYE,HOLD,2026-08-05,521.05,463.4,5,3.6,-2.2,55.6,charts/AGARWALEYE_HOLD.png,,,,
2026-08-05,AHLUCONT,HOLD,2026-08-05,835.6,818.95,5,2.57,-1.1,90.4,charts/AHLUCONT_HOLD.png,,,,
2026-08-05,AIAENG,HOLD,2026-08-05,4646.6,4550.0,3,2.79,-2.3,82.3,charts/AIAENG_HOLD.png,,,,
2026-08-05,AJANTPHARM,HOLD,2026-08-05,3437.5,3238.33,2,3.11,1.2,60.0,charts/AJANTPHARM_HOLD.png,,,,
2026-08-05,AKUMS,HOLD,2026-08-05,666.1,650.25,2,3.01,3.8,72.8,charts/AKUMS_HOLD.png,,,,
2026-08-05,ALIVUS,HOLD,2026-08-05,1331.0,1111.2,3,3.8,1.1,75.0,charts/ALIVUS_HOLD.png,,,,
2026-08-05,ANANDRATHI,HOLD,2026-08-05,2037.6,2034.4,4,2.11,4.6,76.2,charts/ANANDRATHI_HOLD.png,,,,
2026-08-05,ANUP,HOLD,2026-08-05,2214.0,2072.0,2,3.29,-2.0,64.5,charts/ANUP_HOLD.png,,,,
2026-08-05,APLLTD,HOLD,2026-08-05,818.2,789.51,4,2.54,1.5,74.2,charts/APLLTD_HOLD.png,,,,
2026-08-05,APOLLO,HOLD,2026-08-05,399.05,381.8,4,2.98,-6.2,74.2,charts/APOLLO_HOLD.png,,,,
2026-08-05,ARE&M,HOLD,2026-08-05,938.85,877.14,2,2.73,1.8,57.6,charts/ARE&M_HOLD.png,,,,
2026-08-05,ARVIND,HOLD,2026-08-05,545.1,516.7,3,2.9,-1.1,58.8,charts/ARVIND_HOLD.png,,,,
2026-08-05,ASHOKLEY,HOLD,2026-08-05,177.0,151.78,2,2.43,-2.2,41.5,charts/ASHOKLEY_HOLD.png,,,,
