batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-07-07,360ONE,HOLD,2026-07-07,1150.1,1031.3,3,2.33,-5.6,48.7,charts/360ONE_HOLD.png,,,,
2026-07-07,AARTIDRUGS,HOLD,2026-07-07,388.95,366.8,5,2.78,-3.2,72.2,charts/AARTIDRUGS_HOLD.png,,,,
2026-07-07,ABSLAMC,HOLD,2026-07-07,1158.2,1092.2,2,3.95,1.4,63.3,charts/ABSLAMC_HOLD.png,,,,
2026-07-07,AFFLE,HOLD,2026-07-07,1472.7,1401.3,4,2.23,-4.5,80.7,charts/AFFLE_HOLD.png,,,,
2026-07-07,ANANTRAJ,HOLD,2026-07-07,538.1,510.3,3,2.75,-2.5,64.1,charts/ANANTRAJ_HOLD.png,,,,
2026-07-07,ANGELONE,HOLD,2026-07-07,335.8,319.5,3,2.98,-3.6,56.8,charts/ANGELONE_HOLD.png,,,,
2026-07-07,ARVINDFASN,HOLD,2026-07-07,466.45,440.5,2,3.07,-3.9,45.5,charts/ARVINDFASN_HOLD.png,,,,
2026-07-07,ASKAUTOLTD,HOLD,2026-07-07,467.95,423.0,3,2.83,-5.9,37.9,charts/ASKAUTOLTD_HOLD.png,,,,
2026-07-07,ASTERDM,HOLD,2026-07-07,789.15,759.5,3,3.09,0.0,61.1,charts/ASTERDM_HOLD.png,,,,
2026-07-07,ATGL,HOLD,2026-07-07,711.2,690.4,2,3.14,-0.6,76.2,charts/ATGL_HOLD.png,,,,
2026-07-07,AUBANK,HOLD,2026-07-07,1066.9,1013.0,2,2.32,0.3,59.7,charts/AUBANK_HOLD.png,,,,
2026-07-07,AVL,HOLD,2026-07-07,651.25,607.0,2,3.61,6.6,45.7,charts/AVL_HOLD.png,,,,
2026-07-07,BANCOINDIA,HOLD,2026-07-07,680.15,657.2,2,2.77,2.1,78.1,charts/BANCOINDIA_HOLD.png,,,,
2026-07-07,BEML,HOLD,2026-07-07,1832.6,1718.4,3,3.12,-4.6,58.2,charts/BEML_HOLD.png,,,,
2026-07-07,BHARATFORG,HOLD,2026-07-07,2111.6,1999.43,2,2.86,1.2,59.9,charts/BHARATFORG_HOLD.png,,,,
2026-07-07,BIOCON,HOLD,2026-07-07,406.9,406.26,3,2.43,-1.2,72.1,charts/BIOCON_HOLD.png,,,,
2026-07-07,CGCL,HOLD,2026-07-07,237.47,215.17,2,2.92,7.5,52.1,charts/CGCL_HOLD.png,,,,
2026-07-07,CHENNPETRO,HOLD,2026-07-07,1086.1,1074.0,2,3.21,-2.5,73.2,charts/CHENNPETRO_HOLD.png,,,,
2026-07-07,CLEAN,HOLD,2026-07-07,803.9,736.0,3,3.07,-6.7,55.3,charts/CLEAN_HOLD.png,,,,
2026-07-07,COFORGE,HOLD,2026-07-07,1516.2,1360.3,4,3.19,-1.0,74.2,charts/COFORGE_HOLD.png,,,,
2026-07-07,CPPLUS,HOLD,2026-07-07,3552.6,3492.6,2,3.91,15.4,64.6,charts/CPPLUS_HOLD.png,,,,
2026-07-07,DEEPAKFERT,HOLD,2026-07-07,1576.2,1515.0,2,2.97,5.1,62.3,charts/DEEPAKFERT_HOLD.png,,,,
2026-07-07,DIACABS,HOLD,2026-07-07,224.95,200.26,2,3.99,4.9,63.4,charts/DIACABS_HOLD.png,,,,
2026-07-07,DIXON,HOLD,2026-07-07,13242.0,11822.0,2,2.82,1.9,42.9,charts/DIXON_HOLD.png,,,,
2026-07-07,ELECON,HOLD,2026-07-07,509.25,494.94,2,3.69,-5.5,63.2,charts/ELECON_HOLD.png,,,,
2026-07-07,EMMVEE,HOLD,2026-07-07,327.9,320.05,3,4.32,4.4,69.9,charts/EMMVEE_HOLD.png,,,,
