batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-07-17,360ONE,HOLD,2026-07-17,1113.7,1031.3,3,3.19,-6.4,52.9,charts/360ONE_HOLD.png,,,,
2026-07-17,AADHARHFC,HOLD,2026-07-17,517.25,502.2,2,3.19,1.4,82.1,charts/AADHARHFC_HOLD.png,,,,
2026-07-17,AAVAS,HOLD,2026-07-17,1481.4,1466.0,2,2.61,3.5,72.1,charts/AAVAS_HOLD.png,,,,
2026-07-17,ABCAPITAL,HOLD,2026-07-17,401.55,382.75,3,2.66,2.8,63.7,charts/ABCAPITAL_HOLD.png,,,,
2026-07-17,ABDL,HOLD,2026-07-17,616.55,604.91,2,4.12,1.0,77.5,charts/ABDL_HOLD.png,,,,
2026-07-17,ABSLAMC,HOLD,2026-07-17,1150.6,1125.2,2,3.34,2.5,79.9,charts/ABSLAMC_HOLD.png,,,,
2026-07-17,ACE,HOLD,2026-07-17,987.4,983.0,2,3.28,4.8,66.8,charts/ACE_HOLD.png,,,,
2026-07-17,AEQUS,HOLD,2026-07-17,228.38,223.01,3,5.89,5.1,74.5,charts/AEQUS_HOLD.png,,,,
2026-07-17,AIIL,HOLD,2026-07-17,571.0,506.8,2,3.51,-0.0,49.8,charts/AIIL_HOLD.png,,,,
2026-07-17,AJANTPHARM,HOLD,2026-07-17,3419.4,3309.1,2,3.21,4.2,77.4,charts/AJANTPHARM_HOLD.png,,,,
2026-07-17,ALIVUS,HOLD,2026-07-17,1133.3,1107.4,2,3.74,1.8,80.1,charts/ALIVUS_HOLD.png,,,,
2026-07-17,ANGELONE,HOLD,2026-07-17,328.95,319.5,2,3.74,-4.6,70.6,charts/ANGELONE_HOLD.png,,,,
2026-07-17,APLLTD,HOLD,2026-07-17,825.1,809.5,2,3.28,4.5,69.7,charts/APLLTD_HOLD.png,,,,
2026-07-17,APOLLO,HOLD,2026-07-17,397.8,380.75,2,4.85,-3.5,69.5,charts/APOLLO_HOLD.png,,,,
2026-07-17,ASTRAMICRO,HOLD,2026-07-17,1720.8,1665.0,2,4.04,11.2,68.9,charts/ASTRAMICRO_HOLD.png,,,,
2026-07-17,ATGL,HOLD,2026-07-17,706.6,690.4,3,3.11,-2.1,81.1,charts/ATGL_HOLD.png,,,,
2026-07-17,AUBANK,HOLD,2026-07-17,1030.2,1013.0,3,2.26,-0.0,68.2,charts/AUBANK_HOLD.png,,,,
2026-07-17,BANCOINDIA,HOLD,2026-07-17,659.6,625.85,4,2.9,-3.7,72.0,charts/BANCOINDIA_HOLD.png,,,,
2026-07-17,BHARATFORG,HOLD,2026-07-17,2190.5,2035.52,2,2.81,1.1,54.5,charts/BHARATFORG_HOLD.png,,,,
2026-07-17,BIOCON,HOLD,2026-07-17,437.2,406.26,6,3.36,-2.4,60.7,charts/BIOCON_HOLD.png,,,,
2026-07-17,BORORENEW,HOLD,2026-07-17,604.55,602.15,2,4.58,6.9,54.2,charts/BORORENEW_HOLD.png,,,,
2026-07-17,CAPLIPOINT,HOLD,2026-07-17,2614.2,2457.3,2,3.81,7.2,51.0,charts/CAPLIPOINT_HOLD.png,,,,
2026-07-17,CARTRADE,HOLD,2026-07-17,2699.4,2584.2,2,4.93,12.3,50.4,charts/CARTRADE_HOLD.png,,,,
2026-07-17,CCL,HOLD,2026-07-17,1191.4,1159.6,2,2.98,2.0,78.8,charts/CCL_HOLD.png,,,,
2026-07-17,CEATLTD,HOLD,2026-07-17,3549.9,3395.3,4,4.3,-0.9,66.6,charts/CEATLTD_HOLD.png,,,,
2026-07-17,CHENNPETRO,HOLD,2026-07-17,1200.6,1092.1,2,4.65,-1.2,72.1,charts/CHENNPETRO_HOLD.png,,,,
2026-07-17,CONCORDBIO,HOLD,2026-07-17,1342.8,1260.0,3,3.21,1.5,71.6,charts/CONCORDBIO_HOLD.png,,,,
2026-07-17,CRAFTSMAN,HOLD,2026-07-17,9105.0,9075.43,2,2.34,0.5,72.2,charts/CRAFTSMAN_HOLD.png,,,,
2026-07-17,CREDITACC,HOLD,2026-07-17,1478.5,1422.0,2,3.35,2.2,66.1,charts/CREDITACC_HOLD.png,,,,
2026-07-17,DCBBANK,HOLD,2026-07-17,189.93,184.71,2,3.25,1.7,84.3,charts/DCBBANK_HOLD.png,,,,
2026-07-17,DEEPAKFERT,HOLD,2026-07-17,1594.0,1537.1,2,3.58,3.6,71.9,charts/DEEPAKFERT_HOLD.png,,,,
2026-07-17,EIEL,HOLD,2026-07-17,220.23,212.35,2,5.0,2.7,69.9,charts/EIEL_HOLD.png,,,,
2026-07-17,EIHOTEL,HOLD,2026-07-17,338.75,320.55,3,3.06,1.2,67.9,charts/EIHOTEL_HOLD.png,,,,
2026-07-17,ELGIEQUIP,HOLD,2026-07-17,581.7,565.86,3,3.09,-2.4,88.8,charts/ELGIEQUIP_HOLD.png,,,,
2026-07-17,EMMVEE,HOLD,2026-07-17,345.05,320.05,4,4.95,1.7,77.5,charts/EMMVEE_HOLD.png,,,,
2026-07-17,EPL,HOLD,2026-07-17,239.52,223.91,4,3.13,-0.8,75.1,charts/EPL_HOLD.png,,,,
2026-07-17,FEDERALBNK,HOLD,2026-07-17,349.0,323.7,2,2.3,4.3,65.7,charts/FEDERALBNK_HOLD.png,,,,
2026-07-17,FIEMIND,HOLD,2026-07-17,2272.2,2215.0,7,2.35,-1.8,84.0,charts/FIEMIND_HOLD.png,,,,
2026-07-17,FLUOROCHEM,HOLD,2026-07-17,4144.9,3840.0,2,2.92,1.6,56.9,charts/FLUOROCHEM_HOLD.png,,,,
2026-07-17,FORTIS,HOLD,2026-07-17,952.45,923.6,2,2.15,-4.1,72.8,charts/FORTIS_HOLD.png,,,,
2026-07-17,GABRIEL,HOLD,2026-07-17,1336.6,1215.1,2,3.72,5.8,42.8,charts/GABRIEL_HOLD.png,,,,
2026-07-17,GMRAIRPORT,HOLD,2026-07-17,110.54,109.75,2,2.48,5.1,63.1,charts/GMRAIRPORT_HOLD.png,,,,
2026-07-17,GRINDWELL,HOLD,2026-07-17,2086.7,2041.62,2,5.64,3.1,56.6,charts/GRINDWELL_HOLD.png,,,,
2026-07-17,GRWRHITECH,HOLD,2026-07-17,6970.5,6559.0,2,3.66,4.9,64.6,charts/GRWRHITECH_HOLD.png,,,,
2026-07-17,HDBFS,HOLD,2026-07-17,732.5,726.5,3,2.64,4.4,71.0,charts/HDBFS_HOLD.png,,,,
2026-07-17,HEMIPROP,HOLD,2026-07-17,137.18,135.61,6,2.27,-4.0,89.0,charts/HEMIPROP_HOLD.png,,,,
2026-07-17,HSCL,HOLD,2026-07-17,741.55,633.0,3,3.64,-1.3,69.4,charts/HSCL_HOLD.png,,,,
2026-07-17,IDFCFIRSTB,HOLD,2026-07-17,80.35,78.16,2,2.05,4.3,79.5,charts/IDFCFIRSTB_HOLD.png,,,,
2026-07-17,IIFLCAPS,HOLD,2026-07-17,336.95,334.1,5,0.97,-2.2,88.2,charts/IIFLCAPS_HOLD.png,,,,
2026-07-17,INDIGOPNTS,HOLD,2026-07-17,1065.1,1000.05,2,3.76,-0.8,61.4,charts/INDIGOPNTS_HOLD.png,,,,
2026-07-17,INOXINDIA,HOLD,2026-07-17,1980.2,1755.4,2,4.86,3.9,64.4,charts/INOXINDIA_HOLD.png,,,,
2026-07-17,JAMNAAUTO,HOLD,2026-07-17,131.75,129.16,2,3.29,2.3,75.5,charts/JAMNAAUTO_HOLD.png,,,,
2026-07-17,JBMA,HOLD,2026-07-17,670.35,645.2,2,3.06,-4.0,66.0,charts/JBMA_HOLD.png,,,,
2026-07-17,JINDALSAW,HOLD,2026-07-17,269.45,253.6,3,4.13,2.5,71.7,charts/JINDALSAW_HOLD.png,,,,
2026-07-17,JSWINFRA,HOLD,2026-07-17,342.15,318.7,2,3.32,6.8,51.5,charts/JSWINFRA_HOLD.png,,,,
2026-07-17,JUBLPHARMA,HOLD,2026-07-17,1022.6,940.6,6,2.67,-4.2,58.1,charts/JUBLPHARMA_HOLD.png,,,,
2026-07-17,JYOTICNC,HOLD,2026-07-17,781.5,745.75,3,3.79,5.1,61.6,charts/JYOTICNC_HOLD.png,,,,
2026-07-17,KAJARIACER,HOLD,2026-07-17,1239.5,1168.2,3,2.34,3.0,50.0,charts/KAJARIACER_HOLD.png,,,,
2026-07-17,KIMS,HOLD,2026-07-17,802.95,791.6,2,2.83,0.7,79.2,charts/KIMS_HOLD.png,,,,
2026-07-17,KIRLOSBROS,HOLD,2026-07-17,1868.2,1795.9,2,4.25,0.6,77.6,charts/KIRLOSBROS_HOLD.png,,,,
2026-07-17,KIRLOSENG,HOLD,2026-07-17,2255.7,2200.0,2,5.23,8.0,63.4,charts/KIRLOSENG_HOLD.png,,,,
2026-07-17,KPRMILL,HOLD,2026-07-17,1140.3,1113.75,3,3.96,4.9,84.2,charts/KPRMILL_HOLD.png,,,,
2026-07-17,LALPATHLAB,HOLD,2026-07-17,1687.4,1616.1,4,3.02,-1.2,81.4,charts/LALPATHLAB_HOLD.png,,,,
2026-07-17,LAURUSLABS,HOLD,2026-07-17,1529.8,1450.0,2,2.73,1.9,60.8,charts/LAURUSLABS_HOLD.png,,,,
2026-07-17,LICI,HOLD,2026-07-17,433.1,421.0,3,2.17,2.4,67.3,charts/LICI_HOLD.png,,,,
2026-07-17,LTF,HOLD,2026-07-17,310.05,297.65,2,3.56,2.4,70.2,charts/LTF_HOLD.png,,,,
2026-07-17,MANKIND,HOLD,2026-07-17,2484.2,2465.5,2,2.58,0.5,72.8,charts/MANKIND_HOLD.png,,,,
2026-07-17,MANORAMA,HOLD,2026-07-17,1591.5,1548.9,2,3.74,2.9,76.1,charts/MANORAMA_HOLD.png,,,,
2026-07-17,MARKSANS,HOLD,2026-07-17,267.1,253.6,3,3.95,2.7,69.4,charts/MARKSANS_HOLD.png,,,,
2026-07-17,MEDANTA,HOLD,2026-07-17,1316.9,1285.0,2,2.25,1.6,73.6,charts/MEDANTA_HOLD.png,,,,
2026-07-17,METROPOLIS,HOLD,2026-07-17,545.3,516.25,6,3.54,-4.7,66.0,charts/METROPOLIS_HOLD.png,,,,
2026-07-17,MIDHANI,HOLD,2026-07-17,408.0,405.0,4,3.33,-3.6,81.9,charts/MIDHANI_HOLD.png,,,,
2026-07-17,MINDACORP,HOLD,2026-07-17,678.3,652.25,2,3.11,3.1,70.7,charts/MINDACORP_HOLD.png,,,,
