batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-08-06,3MINDIA,HOLD,2026-08-06,36000.0,34865.0,2,2.49,3.5,57.9,charts/3MINDIA_HOLD.png,,,,
2026-08-06,AADHARHFC,HOLD,2026-08-06,514.9,497.05,2,2.66,-1.0,84.5,charts/AADHARHFC_HOLD.png,,,,
2026-08-06,AARTIDRUGS,HOLD,2026-08-06,410.85,402.9,3,2.98,3.1,74.8,charts/AARTIDRUGS_HOLD.png,,,,
2026-08-06,ABDL,HOLD,2026-08-06,605.0,593.4,3,3.76,-4.5,76.2,charts/ABDL_HOLD.png,,,,
2026-08-06,ACMESOLAR,HOLD,2026-08-06,375.45,360.1,3,3.83,-0.2,72.7,charts/ACMESOLAR_HOLD.png,,,,
2026-08-06,AEGISLOG,HOLD,2026-08-06,1400.0,1265.8,2,5.38,15.0,64.7,charts/AEGISLOG_HOLD.png,,,,
2026-08-06,AEQUS,HOLD,2026-08-06,239.05,220.85,3,3.98,0.3,60.6,charts/AEQUS_HOLD.png,,,,
2026-08-06,AGARWALEYE,HOLD,2026-08-06,532.3,463.4,5,3.68,-2.2,55.6,charts/AGARWALEYE_HOLD.png,,,,
2026-08-06,AHLUCONT,HOLD,2026-08-06,829.25,796.0,2,2.5,-3.9,64.6,charts/AHLUCONT_HOLD.png,,,,
2026-08-06,AIAENG,HOLD,2026-08-06,4795.4,4552.0,4,2.78,-2.4,87.4,charts/AIAENG_HOLD.png,,,,
2026-08-06,AJANTPHARM,HOLD,2026-08-06,3470.4,3321.77,2,2.96,2.7,66.9,charts/AJANTPHARM_HOLD.png,,,,
2026-08-06,AKUMS,HOLD,2026-08-06,662.55,650.25,2,2.83,3.4,74.2,charts/AKUMS_HOLD.png,,,,
2026-08-06,ANANDRATHI,HOLD,2026-08-06,2071.5,2018.6,3,2.14,3.5,81.1,charts/ANANDRATHI_HOLD.png,,,,
2026-08-06,APLLTD,HOLD,2026-08-06,834.45,781.77,3,2.49,0.3,56.0,charts/APLLTD_HOLD.png,,,,
2026-08-06,APOLLO,HOLD,2026-08-06,403.95,381.8,4,3.02,-6.1,69.2,charts/APOLLO_HOLD.png,,,,
2026-08-06,ARE&M,HOLD,2026-08-06,927.45,869.79,2,2.75,1.0,40.9,charts/ARE&M_HOLD.png,,,,
2026-08-06,ARVIND,HOLD,2026-08-06,546.1,511.95,4,2.95,-1.7,53.8,charts/ARVIND_HOLD.png,,,,
2026-08-06,ARVINDFASN,HOLD,2026-08-06,459.5,456.0,6,3.23,-2.1,87.5,charts/ARVINDFASN_HOLD.png,,,,
2026-08-06,ATHERENERG,HOLD,2026-08-06,1453.2,1221.2,2,4.36,10.4,59.6,charts/ATHERENERG_HOLD.png,,,,
2026-08-06,AUROPHARMA,HOLD,2026-08-06,1588.9,1513.0,5,2.61,-0.7,69.4,charts/AUROPHARMA_HOLD.png,,,,
2026-08-06,AVL,HOLD,2026-08-06,629.7,613.95,5,3.51,0.6,95.7,charts/AVL_HOLD.png,,,,
2026-08-06,AZAD,HOLD,2026-08-06,2455.8,2306.2,2,3.7,4.0,61.3,charts/AZAD_HOLD.png,,,,
2026-08-06,BAJAJHFL,HOLD,2026-08-06,86.41,84.43,3,1.66,-2.2,78.4,charts/BAJAJHFL_HOLD.png,,,,
2026-08-06,BALRAMCHIN,HOLD,2026-08-06,629.3,595.1,3,3.88,4.3,60.6,charts/BALRAMCHIN_HOLD.png,,,,
2026-08-06,BLUEJET,HOLD,2026-08-06,587.9,572.45,2,4.49,5.5,54.8,charts/BLUEJET_HOLD.png,,,,
2026-08-06,CAPLIPOINT,HOLD,2026-08-06,2585.8,2435.4,2,3.38,-0.8,63.7,charts/CAPLIPOINT_HOLD.png,,,,
2026-08-06,CARBORUNIV,HOLD,2026-08-06,1069.1,1045.51,4,3.29,-4.0,80.0,charts/CARBORUNIV_HOLD.png,,,,
2026-08-06,CCAVENUE,HOLD,2026-08-06,17.13,15.87,3,3.9,1.1,73.1,charts/CCAVENUE_HOLD.png,,,,
2026-08-06,CDSL,HOLD,2026-08-06,1331.0,1289.24,3,2.14,-1.6,78.3,charts/CDSL_HOLD.png,,,,
2026-08-06,CENTURYPLY,HOLD,2026-08-06,783.75,770.55,2,3.07,0.3,72.5,charts/CENTURYPLY_HOLD.png,,,,
