batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-08-17,3MINDIA,HOLD,2026-08-17,34910.0,34638.36,3,2.69,1.2,74.8,charts/3MINDIA_HOLD.png,,,,
2026-08-17,AARTIDRUGS,HOLD,2026-08-17,410.75,402.9,5,3.42,1.4,87.5,charts/AARTIDRUGS_HOLD.png,,,,
2026-08-17,ABCAPITAL,HOLD,2026-08-17,398.7,384.35,5,2.8,-1.7,88.9,charts/ABCAPITAL_HOLD.png,,,,
2026-08-17,ACE,HOLD,2026-08-17,1113.7,1033.1,2,3.63,2.3,61.1,charts/ACE_HOLD.png,,,,
2026-08-17,AFFLE,HOLD,2026-08-17,1703.9,1580.0,2,3.8,3.4,60.4,charts/AFFLE_HOLD.png,,,,
2026-08-17,ANANTRAJ,HOLD,2026-08-17,627.55,575.06,2,2.82,1.2,62.1,charts/ANANTRAJ_HOLD.png,,,,
2026-08-17,APLLTD,HOLD,2026-08-17,822.45,775.86,2,2.64,-2.4,58.9,charts/APLLTD_HOLD.png,,,,
2026-08-17,ARVIND,HOLD,2026-08-17,552.3,505.1,5,4.03,-4.8,60.1,charts/ARVIND_HOLD.png,,,,
2026-08-17,ASTRAMICRO,HOLD,2026-08-17,1707.1,1668.1,4,4.88,-2.7,82.5,charts/ASTRAMICRO_HOLD.png,,,,
2026-08-17,AVL,HOLD,2026-08-17,608.65,604.8,4,3.46,-2.6,89.0,charts/AVL_HOLD.png,,,,
2026-08-17,BALRAMCHIN,HOLD,2026-08-17,655.75,582.15,2,4.3,0.3,66.8,charts/BALRAMCHIN_HOLD.png,,,,
2026-08-17,BELRISE,HOLD,2026-08-17,236.09,224.0,4,3.78,-5.6,51.0,charts/BELRISE_HOLD.png,,,,
2026-08-17,BHARATFORG,HOLD,2026-08-17,2093.0,2049.88,3,2.98,-3.1,79.5,charts/BHARATFORG_HOLD.png,,,,
2026-08-17,BLUEJET,HOLD,2026-08-17,593.2,564.2,4,3.83,1.5,80.6,charts/BLUEJET_HOLD.png,,,,
2026-08-17,BORORENEW,HOLD,2026-08-17,569.9,552.05,2,2.44,-5.9,65.3,charts/BORORENEW_HOLD.png,,,,
2026-08-17,CAMS,HOLD,2026-08-17,776.25,739.65,4,2.51,-5.1,73.4,charts/CAMS_HOLD.png,,,,
2026-08-17,CAPLIPOINT,HOLD,2026-08-17,2522.0,2435.4,2,3.37,-3.7,83.3,charts/CAPLIPOINT_HOLD.png,,,,
2026-08-17,CARTRADE,HOLD,2026-08-17,2796.9,2635.6,3,3.68,-0.8,74.3,charts/CARTRADE_HOLD.png,,,,
2026-08-17,CDSL,HOLD,2026-08-17,1356.8,1289.24,4,1.8,-2.5,81.9,charts/CDSL_HOLD.png,,,,
2026-08-17,CGCL,HOLD,2026-08-17,226.24,219.57,3,3.91,-4.6,82.5,charts/CGCL_HOLD.png,,,,
2026-08-17,CHOICEIN,HOLD,2026-08-17,803.8,791.05,3,1.96,2.8,76.7,charts/CHOICEIN_HOLD.png,,,,
2026-08-17,CHOLAHLDNG,HOLD,2026-08-17,1576.4,1491.82,2,4.03,-5.9,59.4,charts/CHOLAHLDNG_HOLD.png,,,,
