batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-06-22,ACUTAAS,HOLD,2026-06-22,3249.6,2875.3,3,4.33,3.0,62.3,charts/ACUTAAS_HOLD.png,,,,
2026-06-22,ADVENZYMES,HOLD,2026-06-22,374.95,356.0,4,3.25,0.1,76.7,charts/ADVENZYMES_HOLD.png,,,,
2026-06-22,AFFLE,HOLD,2026-06-22,1480.4,1390.0,3,3.54,-5.1,62.1,charts/AFFLE_HOLD.png,,,,
2026-06-22,AIAENG,HOLD,2026-06-22,4848.0,4483.3,2,3.02,7.7,29.6,charts/AIAENG_HOLD.png,,,,
2026-06-22,ALIVUS,HOLD,2026-06-22,1081.0,996.4,3,2.94,-5.7,57.9,charts/ALIVUS_HOLD.png,,,,
2026-06-22,ANANDRATHI,HOLD,2026-06-22,1917.7,1721.0,3,2.57,-3.7,51.7,charts/ANANDRATHI_HOLD.png,,,,
2026-06-22,APLLTD,HOLD,2026-06-22,780.75,706.9,2,2.72,-6.1,52.5,charts/APLLTD_HOLD.png,,,,
2026-06-22,ARE&M,HOLD,2026-06-22,857.2,804.0,2,2.7,-4.8,58.5,charts/ARE&M_HOLD.png,,,,
2026-06-22,ARVIND,HOLD,2026-06-22,508.55,466.05,2,3.61,5.2,59.4,charts/ARVIND_HOLD.png,,,,
2026-06-22,ATLANTAELE,HOLD,2026-06-22,1931.0,1881.1,2,5.99,10.9,72.2,charts/ATLANTAELE_HOLD.png,,,,
2026-06-22,AUROPHARMA,HOLD,2026-06-22,1491.9,1415.1,4,2.52,-2.0,63.3,charts/AUROPHARMA_HOLD.png,,,,
2026-06-22,BAJAJHFL,HOLD,2026-06-22,89.0,81.8,4,2.22,-5.0,50.0,charts/BAJAJHFL_HOLD.png,,,,
2026-06-22,BALRAMCHIN,HOLD,2026-06-22,536.6,511.95,4,3.44,-3.2,71.9,charts/BALRAMCHIN_HOLD.png,,,,
2026-06-22,BEML,HOLD,2026-06-22,1762.9,1677.78,3,3.07,-6.6,61.9,charts/BEML_HOLD.png,,,,
2026-06-22,BERGEPAINT,HOLD,2026-06-22,550.05,481.05,2,3.45,-2.9,38.7,charts/BERGEPAINT_HOLD.png,,,,
2026-06-22,BHEL,HOLD,2026-06-22,411.5,378.0,2,3.62,0.9,64.3,charts/BHEL_HOLD.png,,,,
