batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-09-11,AARTIDRUGS,HOLD,2026-09-11,428.5,402.9,5,3.21,-2.6,65.4,charts/AARTIDRUGS_HOLD.png,,,,
2026-09-11,AARTIPHARM,HOLD,2026-09-11,826.95,810.1,3,3.92,5.6,79.2,charts/AARTIPHARM_HOLD.png,,,,
2026-09-11,ABCAPITAL,HOLD,2026-09-11,395.0,384.35,2,2.24,-4.9,72.6,charts/ABCAPITAL_HOLD.png,,,,
2026-09-11,AEGISLOG,HOLD,2026-09-11,1353.6,1222.3,2,4.15,-6.8,41.4,charts/AEGISLOG_HOLD.png,,,,
2026-09-11,AGARWALEYE,HOLD,2026-09-11,508.4,489.5,3,2.68,-2.2,90.0,charts/AGARWALEYE_HOLD.png,,,,
2026-09-11,AJANTPHARM,HOLD,2026-09-11,3533.4,3513.1,3,2.73,1.2,79.1,charts/AJANTPHARM_HOLD.png,,,,
2026-09-11,AKUMS,HOLD,2026-09-11,776.35,715.1,2,3.41,0.0,46.6,charts/AKUMS_HOLD.png,,,,
2026-09-11,ALIVUS,HOLD,2026-09-11,1386.8,1331.65,4,3.91,5.0,74.3,charts/ALIVUS_HOLD.png,,,,
2026-09-11,ANANDRATHI,HOLD,2026-09-11,2211.0,2151.3,2,1.79,1.1,78.6,charts/ANANDRATHI_HOLD.png,,,,
2026-09-11,ANANTRAJ,HOLD,2026-09-11,598.35,585.34,2,3.26,-3.3,74.6,charts/ANANTRAJ_HOLD.png,,,,
2026-09-11,APARINDS,HOLD,2026-09-11,17500.0,16142.96,2,3.66,3.4,59.1,charts/APARINDS_HOLD.png,,,,
2026-09-11,APLAPOLLO,HOLD,2026-09-11,2153.5,2118.14,2,2.87,6.4,67.2,charts/APLAPOLLO_HOLD.png,,,,
2026-09-11,ASAHIINDIA,HOLD,2026-09-11,985.8,939.22,2,2.09,2.5,64.4,charts/ASAHIINDIA_HOLD.png,,,,
