batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-07-14,AADHARHFC,HOLD,2026-07-14,518.95,508.2,2,3.39,2.8,72.3,charts/AADHARHFC_HOLD.png,,,,
2026-07-14,ABCAPITAL,HOLD,2026-07-14,399.25,382.75,3,2.61,3.4,66.7,charts/ABCAPITAL_HOLD.png,,,,
2026-07-14,ABDL,HOLD,2026-07-14,622.25,604.91,2,4.01,1.6,70.3,charts/ABDL_HOLD.png,,,,
2026-07-14,ABSLAMC,HOLD,2026-07-14,1143.6,1092.2,2,3.75,-0.2,68.9,charts/ABSLAMC_HOLD.png,,,,
2026-07-14,AFFLE,HOLD,2026-07-14,1517.0,1390.5,3,2.73,-5.4,58.5,charts/AFFLE_HOLD.png,,,,
2026-07-14,ALIVUS,HOLD,2026-07-14,1161.2,1108.3,3,3.26,2.0,67.7,charts/ALIVUS_HOLD.png,,,,
2026-07-14,ANGELONE,HOLD,2026-07-14,333.55,319.5,3,3.06,-4.4,64.1,charts/ANGELONE_HOLD.png,,,,
2026-07-14,APOLLO,HOLD,2026-07-14,405.9,380.75,2,5.16,-2.3,67.6,charts/APOLLO_HOLD.png,,,,
2026-07-14,ARVIND,HOLD,2026-07-14,540.45,505.8,2,4.31,1.6,78.1,charts/ARVIND_HOLD.png,,,,
2026-07-14,ARVINDFASN,HOLD,2026-07-14,473.3,440.5,2,2.62,-4.4,57.7,charts/ARVINDFASN_HOLD.png,,,,
2026-07-14,ASTERDM,HOLD,2026-07-14,813.2,757.0,4,2.51,-0.8,71.7,charts/ASTERDM_HOLD.png,,,,
2026-07-14,ASTRAMICRO,HOLD,2026-07-14,1720.0,1665.0,2,3.79,13.9,73.9,charts/ASTRAMICRO_HOLD.png,,,,
2026-07-14,ATGL,HOLD,2026-07-14,721.6,690.4,3,3.16,-1.6,72.3,charts/ATGL_HOLD.png,,,,
2026-07-14,AUBANK,HOLD,2026-07-14,1038.3,1013.0,3,2.36,-0.0,63.7,charts/AUBANK_HOLD.png,,,,
2026-07-14,AVALON,HOLD,2026-07-14,1748.1,1710.0,3,4.6,9.8,78.9,charts/AVALON_HOLD.png,,,,
2026-07-14,BANCOINDIA,HOLD,2026-07-14,657.4,625.85,4,2.9,-3.5,67.6,charts/BANCOINDIA_HOLD.png,,,,
2026-07-14,BANDHANBNK,HOLD,2026-07-14,207.87,194.4,4,3.47,-4.4,55.5,charts/BANDHANBNK_HOLD.png,,,,
2026-07-14,BEML,HOLD,2026-07-14,1855.5,1693.2,4,3.14,-6.0,61.7,charts/BEML_HOLD.png,,,,
2026-07-14,BHARATFORG,HOLD,2026-07-14,2119.7,2035.52,2,2.86,1.7,71.6,charts/BHARATFORG_HOLD.png,,,,
2026-07-14,BIOCON,HOLD,2026-07-14,437.3,406.26,5,3.11,-2.4,60.7,charts/BIOCON_HOLD.png,,,,
2026-07-14,BORORENEW,HOLD,2026-07-14,634.6,596.3,2,3.87,7.7,57.0,charts/BORORENEW_HOLD.png,,,,
2026-07-14,CARTRADE,HOLD,2026-07-14,2895.0,2584.2,2,4.2,18.8,50.0,charts/CARTRADE_HOLD.png,,,,
2026-07-14,CCL,HOLD,2026-07-14,1229.5,1159.6,2,2.61,2.3,73.2,charts/CCL_HOLD.png,,,,
2026-07-14,CDSL,HOLD,2026-07-14,1428.5,1300.0,2,2.36,2.7,44.4,charts/CDSL_HOLD.png,,,,
2026-07-14,CHENNPETRO,HOLD,2026-07-14,1110.9,1092.1,2,3.93,-1.1,66.7,charts/CHENNPETRO_HOLD.png,,,,
