batch_date,symbol,screener,signal_date,close,shelf,shelf_touches,atr_pct,ma50_gap_pct,score,image_path,human_label,reviewer,comment,reviewed_at
2026-06-24,360ONE,HOLD,2026-06-24,1099.9,1048.0,5,2.85,-3.9,76.5,charts/360ONE_HOLD.png,,,,
2026-06-24,ABFRL,HOLD,2026-06-24,61.6,58.72,2,2.79,-6.9,55.8,charts/ABFRL_HOLD.png,,,,
2026-06-24,ABLBL,HOLD,2026-06-24,100.48,96.91,3,3.19,-5.5,79.0,charts/ABLBL_HOLD.png,,,,
2026-06-24,ACMESOLAR,HOLD,2026-06-24,359.3,334.1,2,4.2,7.7,52.7,charts/ACMESOLAR_HOLD.png,,,,
2026-06-24,ACUTAAS,HOLD,2026-06-24,3268.6,3150.9,2,4.21,10.0,57.6,charts/ACUTAAS_HOLD.png,,,,
2026-06-24,ADVENZYMES,HOLD,2026-06-24,369.1,356.0,4,3.45,-0.7,80.6,charts/ADVENZYMES_HOLD.png,,,,
2026-06-24,AFFLE,HOLD,2026-06-24,1455.8,1390.0,3,3.47,-5.3,62.2,charts/AFFLE_HOLD.png,,,,
2026-06-24,AIAENG,HOLD,2026-06-24,4857.5,4376.5,3,3.16,5.7,48.3,charts/AIAENG_HOLD.png,,,,
2026-06-24,ANANDRATHI,HOLD,2026-06-24,1903.9,1715.35,4,2.35,-4.0,54.1,charts/ANANDRATHI_HOLD.png,,,,
2026-06-24,APTUS,HOLD,2026-06-24,264.7,249.0,4,3.15,-5.0,52.9,charts/APTUS_HOLD.png,,,,
2026-06-24,ARE&M,HOLD,2026-06-24,849.9,804.0,3,2.68,-5.6,61.7,charts/ARE&M_HOLD.png,,,,
2026-06-24,ARVIND,HOLD,2026-06-24,556.1,485.1,2,3.48,7.0,34.5,charts/ARVIND_HOLD.png,,,,
2026-06-24,ATLANTAELE,HOLD,2026-06-24,1832.6,1830.1,2,6.04,4.7,72.5,charts/ATLANTAELE_HOLD.png,,,,
2026-06-24,ATUL,HOLD,2026-06-24,6612.5,6480.5,3,2.14,-4.3,79.7,charts/ATUL_HOLD.png,,,,
2026-06-24,AUROPHARMA,HOLD,2026-06-24,1530.6,1415.1,5,2.4,-2.0,68.3,charts/AUROPHARMA_HOLD.png,,,,
2026-06-24,BAJAJHFL,HOLD,2026-06-24,87.95,81.8,4,2.44,-5.0,50.0,charts/BAJAJHFL_HOLD.png,,,,
2026-06-24,BALRAMCHIN,HOLD,2026-06-24,536.8,511.95,4,3.12,-3.6,74.6,charts/BALRAMCHIN_HOLD.png,,,,
2026-06-24,BEML,HOLD,2026-06-24,1752.8,1677.78,3,2.9,-6.8,64.9,charts/BEML_HOLD.png,,,,
2026-06-24,BERGEPAINT,HOLD,2026-06-24,530.55,481.05,2,3.5,-2.9,38.7,charts/BERGEPAINT_HOLD.png,,,,
2026-06-24,BIOCON,HOLD,2026-06-24,420.65,406.05,2,2.24,1.3,52.6,charts/BIOCON_HOLD.png,,,,
2026-06-24,BLUESTONE,HOLD,2026-06-24,530.45,512.45,2,4.28,1.2,86.1,charts/BLUESTONE_HOLD.png,,,,
2026-06-24,BSE,HOLD,2026-06-24,3886.6,3784.8,3,3.67,-3.1,73.1,charts/BSE_HOLD.png,,,,
2026-06-24,CENTURYPLY,HOLD,2026-06-24,755.2,739.95,4,3.13,-3.8,88.8,charts/CENTURYPLY_HOLD.png,,,,
2026-06-24,CIEINDIA,HOLD,2026-06-24,469.9,432.05,2,2.92,-6.8,53.0,charts/CIEINDIA_HOLD.png,,,,
2026-06-24,CLEAN,HOLD,2026-06-24,788.6,743.35,3,3.5,-5.3,64.1,charts/CLEAN_HOLD.png,,,,
